offer_id	first_day_exposition	last_day_exposition	last_price	floor	open_plan	rooms	studio	area	kitchen_area	living_area	agent_fee	renovation	offer_type	category_type	unified_address	building_id
6276688697551415447	2017-07-06T00:00:00+03:00	2017-10-05T00:00:00+03:00	1870170.0	7	False	0	True	28.95		14.2		0.0	1	2	Россия, Санкт-Петербург, Колпино, Вознесенское шоссе, 49к2	539324423125753883
8308010882041746831	2016-07-07T00:00:00+03:00	2018-04-13T00:00:00+03:00	8799000.0	7	False	1	False	50.0	19.0	17.0	0.0		1	2	Россия, Санкт-Петербург, Полтавский проезд, 2	1192688305393967003
3882002697300889919	2016-06-22T00:00:00+03:00	2018-02-07T00:00:00+03:00	6100000.0	5	False	2	False	57.5		31.0		0.0	1	2	Россия, Санкт-Петербург, Российский проспект, 1	4150770578578415428
2842295539331171328	2018-05-13T00:00:00+03:00	2018-08-20T00:00:00+03:00	4650000.0	16	False	1	False	37.0					1	2	Россия, Санкт-Петербург, улица Вадима Шефнера, 10к1	3883943300496951931
5396863661475422465	2018-06-25T00:00:00+03:00	2018-08-20T00:00:00+03:00	12500000.0	11	False	2	False	71.0	15.0	36.0			1	2	Россия, Санкт-Петербург, Ярославский проспект, 76/7	9129469501664487894
790101992635767552	2017-09-25T00:00:00+03:00	2017-10-16T00:00:00+03:00	50000.0	4	False	2	False	64.0	8.0	42.0	50.0	0.0	2	2	Россия, Санкт-Петербург, набережная канала Грибоедова, 37	3976567739161800287
4818180877475875584	2017-09-15T00:00:00+03:00	2018-08-20T00:00:00+03:00	2600000.0	2	False	1	False	43.2	13.1	15.8		3.0	1	2	Россия, Ленинградская область, Всеволожский район, Колтушское сельское поселение, деревня Старая, улица Генерала Чоглокова, 2	6388985142595038318
551626522395233793	2014-12-12T00:00:00+03:00	2016-10-30T00:00:00+03:00	3550000.0	1	False	2	False	42.0	5.5	28.0		3.0	1	2	Россия, Санкт-Петербург, Софийская улица, 39к2	8524592554782633484
8257118873174760865	2018-02-21T00:00:00+03:00	2018-03-22T00:00:00+03:00	16000.0	12	False	1	False	44.0	13.0	18.0	60.0		2	2	Россия, Ленинградская область, Всеволожский район, посёлок Мурино, проспект Авиаторов Балтики, 15	6367309783481566230
7521881594585730694	2017-05-30T00:00:00+03:00	2018-01-17T00:00:00+03:00	50000.0	3	False	2	False	70.0	18.0	38.0	100.0		2	2	Россия, Санкт-Петербург, проспект Медиков, 10к1	3661650946565906323
5753096980659559169	2018-08-15T00:00:00+03:00	2018-08-20T00:00:00+03:00	5500000.0	9	False	3	False	52.0	6.8	35.2			1	2	Россия, Санкт-Петербург, улица Шотмана, 18	4737437119445658328
6302153685264794638	2017-11-24T00:00:00+03:00	2018-01-19T00:00:00+03:00	4840000.0	7	False	1	False	43.0	10.3	20.8			1	2	Россия, Санкт-Петербург, улица Типанова, 34к3	693334786000037702
6299009708806456015	2017-02-22T00:00:00+03:00	2017-07-07T00:00:00+03:00	27000.0	1	False	1	False	39.0	6.0	17.3		0.0	2	2	Россия, Санкт-Петербург, 10-я Красноармейская улица, 4	4398941205205547147
